index,Incident ID,State,City Or County,Street Address,Killed,Injured,Full_Address,Latitude,Longitude,Date,Year
0,1581476,Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,"1575 Ridenour Pkwy NW, Kennesaw Georgia",33.9917233,-84.5889583,Dec 27,2019
1,1577688,Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,"8407 Plaza Blvd NE, Minneapolis (Spring Lake Park) Minnesota",45.1224263,-93.2342819,Dec 22,2019
2,1562685,Michigan,Kalamazoo,6300  Proctor St,1,3,"6300  Proctor St, Kalamazoo Michigan",42.285262,-85.506099,Dec 1,2019
3,1561398,Arkansas,Hensley,6500  E Sardis Rd,0,5,"6500  E Sardis Rd, Hensley Arkansas",34.5440673,-92.3551775,Nov 30,2019
4,1559257,New York,Bronx,E 153rd St and Courtlandt Ave,0,5,"E 153rd St and Courtlandt Ave, Bronx New York",40.8193717,-73.9182842,Nov 27,2019
5,1558067,Florida,Brownsville,NW 29th Ave and 44th St,2,2,"NW 29th Ave and 44th St, Brownsville Florida",25.8152048,-80.2424851,Nov 25,2019
6,1554446,California,Richmond,20th St and Roosevelt Ave,0,4,"20th St and Roosevelt Ave, Richmond California",37.9399917,-122.3505287,Nov 20,2019
7,1543835,Georgia,Conyers,1800  Green St,2,3,"1800  Green St, Conyers Georgia",33.6844535,-83.9865992,Nov 7,2019
8,1540841,Texas,Nacogdoches,Sandyland Cir and CR 823,1,3,"Sandyland Cir and CR 823, Nacogdoches Texas",31.654174,-94.7326386,Nov 3,2019
9,1539572,Arizona,Tolleson,2434 S 86th Ln,0,5,"2434 S 86th Ln, Tolleson Arizona",33.4249156,-112.2465749,Nov 1,2019
10,1536706,Michigan,Detroit,East Outer Dr and Helen St,0,4,"East Outer Dr and Helen St, Detroit Michigan",42.4411816,-83.0318324,Oct 27,2019
11,1535629,Michigan,Lansing,Balfour Dr and W Miller Rd,1,4,"Balfour Dr and W Miller Rd, Lansing Michigan",42.6692109,-84.5762821,Oct 27,2019
12,1533166,Oklahoma,Oklahoma City (Midwest City),7020 E Green Ave,1,3,"7020 E Green Ave, Oklahoma City (Midwest City) Oklahoma",35.4633759,-97.4050924,Oct 22,2019
13,1525999,Pennsylvania,Philadelphia,W Clearfield St and N 8th St,0,6,"W Clearfield St and N 8th St, Philadelphia Pennsylvania",39.9987941,-75.1437857,Oct 13,2019
14,1523606,Florida,Tampa,5410 N Falkenburg Rd,2,2,"5410 N Falkenburg Rd, Tampa Florida",27.9957813,-82.3353752,Oct 10,2019
15,1520499,Colorado,Denver,7100  Ruth Way,0,4,"7100  Ruth Way, Denver Colorado",39.8257676,-105.0130746,Oct 6,2019
16,1517804,Missouri,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,0,4,"Leonor K. Sullivan Blvd and Poplar St, Saint Louis Missouri",38.6192343,-90.1861085,Oct 1,2019
17,1515312,Illinois,Round Lake (Round Lake Park),500  Fairlawn Ave,1,3,"500  Fairlawn Ave, Round Lake (Round Lake Park) Illinois",42.3570845,-88.0766525,Sep 29,2019
18,1517360,Kansas,Claflin,1500  NE 100th Rd,0,4,"1500  NE 100th Rd, Claflin Kansas",38.5074005,-98.4988036,Sep 29,2019
